"","Name","Engine","Cylinders","Horsepower","Weight","WheelBase","Length","Width"
"259","Dodge Viper SRT-10 convertible 2",8.3,10,500,3410,99,176,75
"232","Mercedes-Benz CL600 2dr",5.5,12,493,4473,114,196,73
"275","Mercedes-Benz SL55 AMG 2dr",5.5,8,493,4235,101,179,72
"276","Mercedes-Benz SL600 convertible",5.5,12,493,4429,101,179,72
"288","Porsche 911 GT2 2dr",3.6,6,477,3131,93,175,72
"247","Audi RS 6 4dr",4.2,8,450,4024,109,191,78
"242","Volkswagen Phaeton W12 4dr",6,12,420,5399,118,204,75
"218","Jaguar S-Type R 4dr",4.2,8,390,4046,115,192,72
"221","Jaguar XJR 4dr",4.2,8,390,3948,119,200,73
"267","Jaguar XKR coupe 2dr",4.2,8,390,3865,102,187,71
"268","Jaguar XKR convertible 2dr",4.2,8,390,4042,102,187,71
"256","Chevrolet Corvette 2dr",5.7,8,350,3246,105,180,74
"257","Chevrolet Corvette convertible 2",5.7,8,350,3248,105,180,74
"230","Mercedes-Benz C32 AMG 4dr",3.2,6,349,3540,107,178,68
"278","Mercedes-Benz SLK32 AMG 2dr",3.2,6,349,3220,95,158,68
"405","Cadillac Escalade EXT",6,8,345,5879,130,NA,NA
"204","Audi S4 Quattro 4dr",4.2,8,340,3825,104,179,70
"214","Infiniti M45 4dr",4.5,8,340,3851,110,197,70
"215","Infiniti Q45 Luxury 4dr",4.5,8,340,3977,113,200,73
"284","Pontiac GTO 2dr",5.7,8,340,3725,110,190,73
"333","Porsche Cayenne S",4.5,8,340,4950,112,188,76
"356","Audi S4 Avant Quattro",4.2,8,340,3936,104,179,70
"241","Volkswagen Phaeton 4dr",4.2,8,335,5194,118,204,75
"251","BMW M3 coupe 2dr",3.2,6,333,3415,108,177,70
"252","BMW M3 convertible 2dr",3.2,6,333,3781,108,177,70
"203","Audi A8 L Quattro 4dr",4.2,8,330,4399,121,204,75
"207","BMW 545iA 4dr",4.4,8,325,3814,114,191,73
"208","BMW 745i 4dr",4.4,8,325,4376,118,198,75
"209","BMW 745Li 4dr",4.4,8,325,4464,123,204,75
"304","GMC Yukon XL 2500 SLT",6,8,325,6133,130,219,79
"312","BMW X5 4.4i",4.4,8,325,4824,111,184,74
"338","Toyota Land Cruiser",4.7,8,325,5390,112,193,76
"255","Cadillac XLR convertible 2dr",4.6,8,320,3647,106,178,72
"296","Cadillac SRX V8",4.6,8,320,4302,116,195,73
"285","Porsche 911 Carrera convertible",3.6,6,315,3135,93,175,70
"286","Porsche 911 Carrera 4S coupe 2dr",3.6,6,315,3240,93,175,72
"287","Porsche 911 Targa coupe 2dr",3.6,6,315,3119,93,175,70
"363","Infiniti FX45",4.5,8,315,4309,112,189,76
"308","Nissan Pathfinder Armada SE",5.6,8,305,5013,123,207,79
"424","Nissan Titan King Cab XE",5.6,8,305,5287,140,NA,NA
"182","Mercury Marauder 4dr",4.6,8,302,4195,115,212,78
"231","Mercedes-Benz CL500 2dr",5,8,302,4085,114,196,73
"234","Mercedes-Benz CLK500 coupe 2dr (",5,8,302,3585,107,183,69
"236","Mercedes-Benz E500 4dr",5,8,302,3815,112,190,71
"238","Mercedes-Benz S500 4dr",5,8,302,4390,122,203,73
"274","Mercedes-Benz SL500 convertible",5,8,302,4065,101,179,72
"325","Lincoln Aviator Ultimate",4.6,8,302,4834,114,193,76
"368","Mercedes-Benz E500",5,8,302,4230,112,190,71
"194","Volvo S60 R 4dr",2.5,5,300,3571,107,181,71
"202","Audi A6 4.2 Quattro 4dr",4.2,8,300,4024,109,193,71
"212","Cadillac Deville DTS 4dr",4.6,8,300,4044,115,207,74
"223","Lexus GS 430 4dr",4.3,8,300,3715,110,189,71
"269","Lexus SC 430 convertible 2dr",4.3,8,300,3840,103,178,72
"292","Subaru Impreza WRX STi 4dr",2.5,4,300,3263,100,174,69
"409","Chevrolet Silverado SS",6,8,300,4804,144,NA,NA
"410","Chevrolet SSR",5.3,8,300,4760,116,NA,NA
"415","Ford F-150 Supercab Lariat",5.4,8,300,5464,133,NA,NA
"419","GMC Sierra HD 2500",6,8,300,5440,133,NA,NA
"295","Cadillac Escaladet",5.3,8,295,5367,116,199,79
"297","Chevrolet Suburban 1500 LT",5.3,8,295,4947,130,219,79
"298","Chevrolet Tahoe LT",5.3,8,295,5050,116,197,79
"406","Chevrolet Avalanche 1500",5.3,8,295,5678,130,NA,NA
"217","Jaguar S-Type 4.2 4dr",4.2,8,294,3874,115,192,72
"219","Jaguar Vanden Plas 4dr",4.2,8,294,3803,119,200,73
"220","Jaguar XJ8 4dr",4.2,8,294,3803,119,200,73
"265","Jaguar XK8 coupe 2dr",4.2,8,294,3779,102,187,71
"266","Jaguar XK8 convertible 2dr",4.2,8,294,3980,102,187,71
"326","Mercedes-Benz G500",5,8,292,5423,112,186,71
"224","Lexus LS 430 4dr",4.3,8,290,3990,115,197,72
"246","Acura NSX coupe 2dr manual S",3.2,6,290,3153,100,174,71
"327","Mercedes-Benz ML500",5,8,288,4874,111,183,72
"282","Nissan 350Z coupe 2dr",3.5,6,287,3188,104,169,72
"283","Nissan 350Z Enthusiast convertib",3.5,6,287,3428,104,169,72
"303","CMC Yukon 1500 SLE",4.8,8,285,5042,116,199,79
"418","GMC Sierra Extended Cab 1500",4.8,8,285,4548,144,NA,NA
"321","Land Rover Range Rover HSE",4.4,8,282,5379,113,195,76
"123","Infiniti G35 Sport Coupe 2dr",3.5,6,280,3416,112,182,72
"225","Lincoln LS V8 Sport 4dr",3.9,8,280,3768,115,194,73
"226","Lincoln LS V8 Ultimate 4dr",3.9,8,280,3768,115,194,73
"262","Ford Thunderbird Deluxe convert",3.9,8,280,3780,107,186,72
"362","Infiniti FX35",3.5,6,280,4056,112,189,76
"183","Pontiac Bonneville GXP 4dr",4.6,8,275,3790,112,203,74
"211","Cadillac Deville 4dr",4.6,8,275,3984,115,207,74
"213","Cadillac Seville SLS 4dr",4.6,8,275,3992,112,201,75
"237","Mercedes-Benz S430 4dr",4.3,8,275,4160,122,203,73
"302","GMC Envoy XUV SLE",4.2,6,275,4945,129,208,75
"306","Isuzu Ascender S",4.2,6,275,4967,129,208,76
"313","Buick Rainier",4.2,6,275,4600,113,193,75
"315","Chevrolet TrailBlazer LT",4.2,6,275,4425,113,192,75
"281","Mitsubishi Lancer Evolution 4dr",2,4,271,3263,103,179,70
"148","Acura TL 4dr",3.2,6,270,3575,108,186,72
"191","Volkswagen Passat W8 4MOTION 4dr",4,8,270,3953,106,185,69
"382","Volkswagen Passat W8",4,8,270,4067,106,184,69
"245","Volvo S80 T6 4dr",2.9,6,268,3653,110,190,72
"340","Volvo XC90 T6",2.9,6,268,4638,113,189,75
"134","Nissan Maxima SE 4dr",3.5,6,265,3473,111,194,72
"135","Nissan Maxima SL 4dr",3.5,6,265,3476,111,194,72
"310","Acura MDX",3.5,6,265,4451,106,189,77
"122","Infiniti G35 4dr",3.5,6,260,3336,112,187,69
"168","Infiniti G35 4dr",3.5,6,260,3677,112,187,69
"261","Ford Mustang GT Premium converti",4.6,8,260,3347,101,183,73
