# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 25 12:15:35 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by pl_rade desc
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
HD 100546 b,1,1,1,Imaging,2014,Paranal Observatory,1,,53.000000,77.342,6.900,,,,,,,0,B9 Vne,10500.00,,2.40,,,109.6770000,6.6900000,5.4180000,6.6551400
GQ Lup b,1,1,1,Imaging,2004,Paranal Observatory,0,,100.000000,33.600,3.000,6356.00000,20.00000,Mass,,,2650,0,K7e V,,,0.70,,,151.1690000,11.5930000,7.0960000,11.2608000
PDS 70 b,1,1,2,Imaging,2018,Paranal Observatory,0,,20.000000,30.488,2.720,953.49000,3.00000,Mass,0.190000,,1204,0,,3972.00,,,,,113.0640000,12.0320000,8.5420000,11.5848000
CT Cha b,1,1,1,Imaging,2007,Paranal Observatory,0,,440.000000,24.660,2.200,5403.00000,17.00000,Mass,,,2600,0,,,,,,,190.7200000,12.3350000,8.6610000,11.7733000
HAT-P-67 b,1,2,1,Transit,2017,HATNet,0,4.81010250,0.065050,23.371,2.085,108.06220,0.34000,Mass,0.000000,,1903,0,,6406.00,2.55,1.64,-0.080,3.85,371.6860000,10.1060000,8.9000000,9.9749600
XO-6 b,1,1,1,Transit,2016,XO,0,3.76500070,0.081500,23.203,2.070,1398.45200,4.40000,Mass,0.000000,,1577,0,F5,6720.00,1.93,1.47,-0.070,4.04,235.4790000,10.2470000,9.2460000,10.1910000
HAT-P-41 b,1,2,1,Transit,2012,HATNet,0,2.69405000,,22.978,2.050,378.21770,1.19000,Mass,0.000000,,,0,,6390.00,2.05,2.56,0.210,4.14,348.1850000,11.3650000,9.7280000,10.9390000
PDS 70 c,1,1,2,Imaging,2019,European Southern Observatory,0,,34.000000,22.866,2.040,635.66000,2.00000,Mass,0.110000,,995,0,,3972.00,,,,,113.0640000,12.0320000,8.5420000,11.5848000
HIP 65 A b,1,2,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,0.98097340,0.017820,22.754,2.030,1021.18779,3.21300,Mass,0.000000,661.00,1411,0,K4 V,4590.00,0.72,0.78,0.180,4.61,61.7856000,11.0000000,8.2900000,10.5895000
HIP 75056 A b,1,2,1,Imaging,2021,Paranal Observatory,0,47000.00000000,30.000000,22.418,2.000,7945.71018,25.00000,Mass,0.500000,,2300,0,A2 V,,,1.92,,,125.2120000,7.7800000,7.3020000,7.7386700
Kepler-435 b,1,1,1,Transit,2015,Kepler,0,8.60015360,0.094800,22.310,1.990,266.97000,0.84000,Mass,0.114000,,1729,0,,6161.00,3.21,1.54,-0.180,3.61,1418.7700000,13.7040000,12.2910000,13.6040000
HAT-P-32 b,1,2,1,Transit,2011,HATNet,0,2.15000820,0.033970,22.194,1.980,216.12440,0.68000,Mass,0.159000,1841.00,1836,0,,6001.00,1.37,1.13,-0.160,4.22,289.2050000,11.4390000,9.9900000,11.1335000
WASP-12 b,1,3,1,Transit,2008,SuperWASP,0,1.09142000,0.023200,21.712,1.937,465.62095,1.46500,Mass,,,2593,1,,6360.00,1.66,1.43,,,427.2460000,11.5690000,10.1880000,11.4999000
WASP-78 b,1,1,1,Transit,2012,SuperWASP,0,2.17518000,,21.633,1.930,352.79130,1.11000,Mass,0.000000,,,0,,6100.00,2.46,1.87,-0.350,4.10,754.2580000,11.9650000,11.0080000,12.1879000
KELT-19 A b,1,2,1,Transit,2017,KELT,0,4.61170930,0.063700,21.409,1.910,1293.56810,4.07000,Mass,,2340.00,1935,1,A8 V,7500.00,1.83,1.62,-0.120,4.13,300.2760000,9.8570000,9.1960000,9.8633100
KELT-9 b,1,2,1,Transit,2017,KELT-North,0,1.48112350,0.034620,21.196,1.891,915.35040,2.88000,Mass,0.000000,44900.00,4050,0,B9.5-A0,10170.00,2.36,2.52,-0.030,4.09,204.4550000,7.5500000,7.4820000,7.5767500
HAT-P-65 b,1,1,1,Transit,2016,HATNet,0,2.60545520,0.039510,21.185,1.890,167.49641,0.52700,Mass,0.304000,,1930,0,G2,5835.00,1.86,1.21,0.100,3.98,738.5190000,13.1210000,11.5280000,12.9952000
TOI-1518 b,1,1,1,Transit,2021,Multiple Observatories,0,1.90260300,0.038900,21.017,1.875,731.00534,2.30000,Mass,0.010000,,2492,0,F0,7300.00,1.95,1.79,-0.100,4.10,225.8880000,8.9520000,8.3250000,8.8952900
WASP-17 b,1,1,1,Transit,2009,SuperWASP,0,3.73543000,,20.961,1.870,247.90740,0.78000,Mass,0.000000,,,0,,6550.00,1.49,2.28,-0.250,4.20,405.9080000,11.5880000,10.2240000,11.3803000
HAT-P-70 b,1,1,1,Transit,2019,HATNet,0,2.74432452,0.047390,20.961,1.870,2154.88740,6.78000,Mass,0.000000,,2562,0,,8450.00,1.86,1.89,-0.059,4.18,330.7390000,9.4700000,8.9630000,9.4517400
HATS-23 b,1,1,1,Transit,2017,HATSouth,0,2.16051560,0.033970,20.849,1.860,467.21010,1.47000,Mass,0.114000,,1654,0,G V,5780.00,1.20,1.12,0.280,4.33,639.0040000,13.8400000,12.2620000,13.7520000
CFHTWIR-Oph 98 b,1,1,1,Imaging,2021,Hubble Space Telescope,0,8040000.00000000,200.000000,20.849,1.860,2479.06157,7.80000,Mass,,,1800,0,M9-L1,2320.00,0.24,0.01,,3.85,,,14.5930000,
