"season","month","weekday","hour","isweekday","isholiday","weathertype","temperature","humidity","windspeed","count"
1,1,6,5,0,0,2,9.84,75,6.0032,0.213567546567729
1,1,6,10,0,0,1,15.58,76,16.9979,2.94393197632047
1,1,6,11,0,0,1,14.76,81,19.0012,3.52145142734844
1,1,6,12,0,0,1,17.22,77,19.0012,4.11344124328261
1,1,6,13,0,0,2,18.86,72,19.9995,4.28900321384896
1,1,6,14,0,0,2,18.86,72,19.0012,4.48225756262964
1,1,6,15,0,0,2,18.04,77,19.9995,4.54305847498049
1,1,6,16,0,0,2,17.22,82,19.9995,4.27208872664615
1,1,6,17,0,0,2,18.04,82,19.0012,3.77561183669993
1,1,6,18,0,0,3,17.22,88,16.9979,2.90934089044764
1,1,6,19,0,0,3,17.22,88,16.9979,2.97782371751616
1,1,6,20,0,0,2,16.4,87,16.9979,2.94393197632047
1,1,6,21,0,0,2,16.4,87,12.998,2.87401570364733
1,1,6,22,0,0,2,16.4,94,15.0013,2.64430559154906
1,1,6,23,0,0,2,18.86,88,19.9995,3.04363583289252
1,1,7,0,0,0,2,18.86,88,19.9995,2.10618056274587
1,1,7,1,0,0,2,18.04,94,16.9979,2.10618056274587
1,1,7,2,0,0,2,17.22,100,19.0012,1.51988224454455
1,1,7,3,0,0,2,18.86,94,12.998,1.19902474051623
1,1,7,4,0,0,2,18.86,94,12.998,0.737812803212854
1,1,7,6,0,0,3,17.22,77,19.9995,0.516001858451871
1,1,7,7,0,0,2,16.4,76,12.998,0.213567546567729
1,1,7,8,0,0,3,16.4,71,15.0013,1.42260851646908
1,1,7,9,0,0,2,15.58,76,15.0013,2.27349476220013
1,1,7,10,0,0,2,14.76,81,15.0013,3.44577788323082
1,1,7,11,0,0,2,14.76,71,16.9979,3.83951311381768
1,1,7,12,0,0,2,14.76,66,19.9995,4.27208872664615
1,1,7,13,0,0,2,14.76,66,8.9981,3.94164990581534
1,1,7,14,0,0,3,14.76,76,12.998,3.5941866521041
1,1,7,15,0,0,3,13.94,81,11.0014,3.92163486748041
1,1,7,16,0,0,3,13.94,71,11.0014,3.96146831053982
1,1,7,17,0,0,1,13.94,57,12.998,3.73182521190391
1,1,7,18,0,0,2,14.76,46,22.0028,3.44577788323082
1,1,7,19,0,0,1,13.12,42,30.0026,2.72457395242482
1,1,7,20,0,0,1,12.3,39,23.9994,2.37512942631115
1,1,7,21,0,0,1,10.66,44,22.0028,2.76324407725734
1,1,7,22,0,0,1,9.84,44,19.9995,1.51988224454455
1,1,7,23,0,0,1,9.02,47,11.0014,1.42260851646908
1,1,1,0,1,0,1,9.02,44,23.9994,1.06731624252221
1,1,1,1,1,0,1,8.2,44,27.9993,0.516001858451871
1,1,1,4,1,0,1,6.56,47,26.0027,0.213567546567729
1,1,1,5,1,0,1,6.56,47,19.0012,0.737812803212854
1,1,1,6,1,0,1,5.74,50,26.0027,2.72457395242482
1,1,1,7,1,0,1,5.74,50,12.998,3.70955721719861
1,1,1,8,1,0,1,5.74,50,19.0012,5.12276524518129
1,1,1,9,1,0,1,6.56,43,26.0027,4.18543306966654
1,1,1,10,1,0,1,7.38,43,16.9979,3.19793014053082
1,1,1,11,1,0,1,8.2,40,22.0028,3.39355318287521
1,1,1,12,1,0,1,9.02,35,19.9995,3.64117125310736
1,1,1,13,1,0,1,9.84,35,19.0012,3.64117125310736
1,1,1,14,1,0,1,10.66,30,19.0012,3.98109454638167
1,1,1,15,1,0,1,10.66,30,16.9979,3.88099619576357
1,1,1,16,1,0,1,10.66,30,16.9979,3.96146831053982
1,1,1,17,1,0,1,9.84,30,15.0013,5.1575514272822
1,1,1,18,1,0,1,9.84,32,7.0015,5.1575514272822
1,1,1,20,1,0,1,8.2,47,7.0015,3.41985091112851
1,1,1,21,1,0,1,7.38,64,8.9981,3.41985091112851
1,1,1,22,1,0,1,5.74,69,8.9981,2.27349476220013
1,1,1,23,1,0,1,7.38,55,7.0015,1.77201595150857
1,1,2,0,1,0,1,6.56,55,7.0015,1.06731624252221
1,1,2,1,1,0,1,6.56,59,7.0015,0.516001858451871
1,1,2,2,1,0,1,5.74,63,8.9981,0.213567546567729
1,1,2,4,1,0,1,5.74,63,6.0032,0.516001858451871
1,1,2,5,1,0,1,4.92,68,7.0015,0.916335003091897
1,1,2,6,1,0,1,4.92,74,7.0015,2.94393197632047
1,1,2,7,1,0,1,4.92,74,8.9981,4.28900321384896
1,1,2,8,1,0,1,5.74,69,11.0014,5.39862518730821
1,1,2,9,1,0,1,6.56,64,15.0013,4.38778173430277
1,1,2,10,1,0,2,6.56,69,22.0028,3.13784513431974
1,1,2,11,1,0,1,9.02,51,19.9995,3.54600969185393
1,1,2,12,1,0,1,9.02,51,11.0014,4.00053292065611
1,1,2,13,1,0,1,9.84,56,12.998,4.33895893136806
1,1,2,14,1,0,1,10.66,52,15.0013,3.68703038322057
1,1,2,15,1,0,1,11.48,52,16.9979,3.73182521190391
1,1,2,16,1,0,1,12.3,49,16.9979,4.09504751138744
1,1,2,17,1,0,1,11.48,48,15.0013,5.72189876702789
1,1,2,18,1,0,1,10.66,48,12.998,5.42976297938021
1,1,2,19,1,0,1,9.84,48,7.0015,4.57284546703895
1,1,2,20,1,0,1,9.84,48,7.0015,3.47134611217885
1,1,2,22,1,0,1,9.02,64,6.0032,2.90934089044764
1,1,2,23,1,0,1,8.2,69,6.0032,1.69353895937081
1,1,3,1,1,0,1,6.56,74,6.0032,1.19902474051623
1,1,3,2,1,0,1,6.56,74,6.0032,0.516001858451871
1,1,3,4,1,0,1,9.84,48,15.0013,0.516001858451871
